family,taxon_sci_name,trophic_group
Sciaenidae,Eques lanceolatus,Invertivores
Sciaenidae,Equetus punctatus,Invertivores
Scorpaenidae,Pterois volitans,Piscivores
Serranidae,Cephalopholis cruentata,Invertivores
Serranidae,Cephalopholis fulva,Invertivores
Serranidae,Hypoplectrus,NA
Serranidae,Hypoplectrus aberrans,Invertivores
Serranidae,Hypoplectrus guttavarius,Invertivores
Serranidae,Hypoplectrus indigo,NA
Serranidae,Hypoplectrus nigricans,Invertivores
Serranidae,Hypoplectrus providencianus,NA
Serranidae,Hypoplectrus puella,Invertivores
Serranidae,Hypoplectrus randallorum,NA
Serranidae,Mycteroperca venenosa,NA
Serranidae,Serranus tabacarius,Invertivores
Serranidae,Serranus tigrinus,Invertivores
Sphyraenidae,Sphyraena barracuda,Piscivores
Sphyraenidae,Sphyraena borealis,NA
Synodontidae,Synodus intermedius,Piscivores
Tetraodontidae,Canthigaster rostrata,Herbivores
Tetraodontidae,Sphoeroides spengleri,Invertivores
Urolophidae,Urobatis jamaicensis,NA
